"País","Pol_corruption_index","Democracy_index","GDP_per_capita","Transp_laws","Unemployment_rate","Press_freedom_index"
"Afghanistan",51.8,0.32,1516.3057,0,14.1,40.19
"Albania",59.4,6.41,14518.906,0,11.629,30.59
"Algeria",67,3.66,11039.806,0,12.491,47.26
"Andorra",47.68,5.29317365269461,21272.0961621053,NA,NA,23.32
"Angola",49.9,3.96,5908.57,0,14.478,34.06
"Antigua and Barbuda",47.68,5.29317365269461,19124.43,NA,NA,NA
"Argentina",40.1,6.85,21527.195,0,6.805,28.99
"Armenia",37.4,5.63,14193.117,0,8.588,28.83
"Aruba",47.68,5.29317365269461,38866.332,NA,NA,NA
"Australia",2.6,8.71,49774.34,1,3.7,19.79
"Austria",12.2,8.2,54121.145,0,4.99,16.34
"Azerbaijan",88.4,2.87,14431.661,0,5.65,58.77
"Bahamas",47.68,5.29317365269461,30210.162,NA,10.089,NA
"Bahrain",57.8,2.52,49387.418,0,1.339,61.1
"Bangladesh",90.8,5.99,5911.013,0,4.271,49.71
"Barbados",6.7,5.29317365269461,13754.803,1,8.501,NA
"Belarus",42.1,1.99,19751.203,0,3.57,50.82
"Belgium",3.1,7.64,51739.54,1,5.56,11.69
"Belize",47.68,5.29317365269461,8762.623,NA,8.672,27.61
"Benin",18.8,4.28,3321.5522,0,1.476,38.18
"Bermuda",47.68,5.29317365269461,80271.13,NA,NA,NA
"Bhutan",12.8,5.54,10907.856,1,5.95,28.86
"Bolivia",60.3,4.51,8052.1772,0,3.552,35.47
"Bosnia and Herzegovina",73.2,5,15666.54,0,12.66,28.34
"Botswana",23.9,7.73,14840.913,0,23.62,23.25
"Brazil",44.9,6.78,14592.353,1,9.23,36.25
"Brunei",47.68,5.29317365269461,60127.023,NA,4.452,49.91
"Bulgaria",33.4,6.53,24398.13,0,4.27,37.29
"Burkina Faso",36.4,3.08,2179.789,1,5.065,23.17
"Burundi",79,2.13,705.0304,0,0.906,47.57
"Cambodia",88.3,3.18,4354.5654,0,0.226,46.84
"Cameroon",94.6,2.56,3700.4644,0,3.779,43.78
"Canada",2.7,8.88,47892.945,1,5.28,15.25
"Cape Verde",25.9,7.65,6114.1333,0,12.44,20.09
"Cayman Islands",47.68,5.29317365269461,67500.1,NA,NA,NA
"Central African Republic",82,1.35,837.5047,0,6.341,41.92
"Chad",95.4,1.67,1425.4945,0,1.1,40.2
"Chile",7,8.22,25449.13,1,8.25,27.89
"China",52.3,1.94,17602.695,0,4.98,78.72
"Colombia",39.4,6.72,14648.592,0,10.55,43.74
"Comoros",78,3.2,3228.5269,0,5.745,30.65
"Congo",84.4,2.79,3234.393,0,20.477,38.83
"Costa Rica",19,8.29,21199.281,1,11.32,8.76
"Cote d'Ivoire",59.7,4.22,5325.0303,0,2.489,28.87
"Croatia",25.6,6.5,31635.824,0,6.96,27.95
