"","País","Pol_corruption_index"
"1","Afghanistan",0.518
"2","Albania",0.594
"3","Algeria",0.67
"4","Angola",0.499
"5","Argentina",0.401
"6","Armenia",0.374
"7","Australia",0.026
"8","Austria",0.122
"9","Azerbaijan",0.884
"10","Bahrain",0.578
"11","Bangladesh",0.908
"12","Barbados",0.067
"13","Belarus",0.421
"14","Belgium",0.031
"15","Benin",0.188
"16","Bhutan",0.128
"17","Bolivia",0.603
"18","Bosnia and Herzegovina",0.732
"19","Botswana",0.239
"20","Brazil",0.449
"21","Bulgaria",0.334
"22","Burkina Faso",0.364
"23","Burundi",0.79
"24","Cambodia",0.883
"25","Cameroon",0.946
"26","Canada",0.027
"27","Cape Verde",0.259
"28","Central African Republic",0.82
"29","Chad",0.954
"30","Chile",0.07
"31","China",0.523
"32","Colombia",0.394
"33","Comoros",0.78
"34","Congo",0.844
"35","Costa Rica",0.19
"36","Cote d'Ivoire",0.597
"37","Croatia",0.256
"38","Cuba",0.593
"39","Cyprus",0.196
"40","Czechia",0.137
"41","Democratic Republic of Congo",0.922
"42","Denmark",0.003
"43","Djibouti",0.685
"44","Dominican Republic",0.634
"45","East Timor",0.216
"46","Ecuador",0.658
"47","Egypt",0.731
"48","El Salvador",0.701
"49","Equatorial Guinea",0.865
"50","Eritrea",0.713
"51","Estonia",0.038
"52","Eswatini",0.59
"53","Ethiopia",0.571
"54","Fiji",0.293
"55","Finland",0.016
"56","France",0.047
"57","Gabon",0.825
"58","Gambia",0.26
"59","Georgia",0.154
"60","Germany",0.015
"61","Ghana",0.641
"62","Greece",0.253
"63","Guatemala",0.773
"64","Guinea",0.719
"65","Guinea-Bissau",0.806
"66","Guyana",0.462
"67","Haiti",0.766
"68","Honduras",0.75
"69","Hong Kong",0.084
"70","Hungary",0.514
"71","Iceland",0.025
"72","India",0.675
"73","Indonesia",0.772
"74","Iran",0.796
"75","Iraq",0.808
"76","Ireland",0.032
"77","Israel",0.139
"78","Italy",0.167
"79","Jamaica",0.207
"80","Japan",0.063
"81","Jordan",0.492
"82","Kazakhstan",0.685
"83","Kenya",0.516
"84","Kosovo",0.306
"85","Kuwait",0.314
"86","Kyrgyzstan",0.782
"87","Laos",0.715
"88","Latvia",0.07
"89","Lebanon",0.772
"90","Lesotho",0.546
"91","Liberia",0.877
"92","Libya",0.82
"93","Lithuania",0.126
"94","Luxembourg",0.026
"95","Madagascar",0.811
"96","Malawi",0.644
"97","Malaysia",0.321
"98","Maldives",0.473
"99","Mali",0.854
"100","Malta",0.192
"101","Mauritania",0.835
"102","Mauritius",0.497
"103","Mexico",0.541
"104","Moldova",0.234
"105","Mongolia",0.791
"106","Montenegro",0.515
"107","Morocco",0.627
"108","Mozambique",0.643
"109","Myanmar",0.795
"110","Namibia",0.334
"111","Nepal",0.597
"112","Netherlands",0.02
"113","New Zealand",0.008
"114","Nicaragua",0.905
"115","Niger",0.493
"116","Nigeria",0.922
"117","North Korea",0.681
"118","North Macedonia",0.748
"119","Norway",0.01
"120","Oman",0.257
"121","Pakistan",0.904
"122","Panama",0.5
"123","Papua New Guinea",0.758
"124","Paraguay",0.776
"125","Peru",0.583
"126","Philippines",0.811
"127","Poland",0.134
"128","Portugal",0.175
"129","Qatar",0.376
"130","Romania",0.339
"131","Russia",0.785
"132","Rwanda",0.437
"133","Sao Tome and Principe",0.278
"134","Saudi Arabia",0.323
"135","Senegal",0.288
"136","Serbia",0.66
"137","Seychelles",0.053
"138","Sierra Leone",0.469
"139","Singapore",0.019
"140","Slovakia",0.197
"141","Slovenia",0.061
"142","Solomon Islands",0.643
"143","Somalia",0.866
"144","South Africa",0.504
"145","South Korea",0.163
"146","South Sudan",0.889
"147","Spain",0.073
"148","Sri Lanka",0.549
"149","Sudan",0.785
"150","Suriname",0.233
"151","Sweden",0.01
"152","Switzerland",0.023
"153","Syria",0.897
"154","Taiwan",0.232
"155","Tajikistan",0.841
"156","Tanzania",0.152
"157","Thailand",0.679
"158","Togo",0.743
"159","Trinidad and Tobago",0.092
"160","Tunisia",0.416
"161","Turkey",0.842
"162","Turkmenistan",0.896
"163","Uganda",0.743
"164","Ukraine",0.608
"165","United Arab Emirates",0.119
"166","United Kingdom",0.054
"167","United States",0.061
"168","Uruguay",0.075
"169","Uzbekistan",0.841
"170","Vanuatu",0.338
"171","Venezuela",0.967
"172","Vietnam",0.481
"173","Yemen",0.926
"174","Zambia",0.334
"175","Zimbabwe",0.863
