"","País","Democracy_index"
"1","Afghanistan",0.32
"2","Albania",6.41
"3","Algeria",3.66
"4","Angola",3.96
"5","Argentina",6.85
"6","Armenia",5.63
"7","Australia",8.71
"8","Austria",8.2
"9","Azerbaijan",2.87
"10","Bahrain",2.52
"11","Bangladesh",5.99
"12","Belarus",1.99
"13","Belgium",7.64
"14","Benin",4.28
"15","Bhutan",5.54
"16","Bolivia",4.51
"17","Bosnia and Herzegovina",5
"18","Botswana",7.73
"19","Brazil",6.78
"20","Bulgaria",6.53
"21","Burkina Faso",3.08
"22","Burundi",2.13
"23","Cambodia",3.18
"24","Cameroon",2.56
"25","Canada",8.88
"26","Cape Verde",7.65
"27","Central African Republic",1.35
"28","Chad",1.67
"29","Chile",8.22
"30","China",1.94
"31","Colombia",6.72
"32","Comoros",3.2
"33","Congo",2.79
"34","Costa Rica",8.29
"35","Cote d'Ivoire",4.22
"36","Croatia",6.5
"37","Cuba",2.65
"38","Cyprus",7.38
"39","Czechia",7.97
"40","Democratic Republic of Congo",1.48
"41","Denmark",9.28
"42","Djibouti",2.74
"43","Dominican Republic",6.39
"44","East Timor",7.06
"45","Ecuador",5.69
"46","Egypt",2.93
"47","El Salvador",5.06
"48","Equatorial Guinea",1.92
"49","Eritrea",2.03
"50","Estonia",7.96
"51","Eswatini",3.01
"52","Ethiopia",3.17
"53","Fiji",5.55
"54","Finland",9.29
"55","France",8.07
"56","Gabon",3.4
"57","Gambia",4.47
"58","Georgia",5.2
"59","Germany",8.8
"60","Ghana",6.43
"61","Greece",7.97
"62","Guatemala",4.68
"63","Guinea",2.32
"64","Guinea-Bissau",2.56
"65","Guyana",6.34
"66","Haiti",2.81
"67","Honduras",5.15
"68","Hong Kong",5.28
"69","Hungary",6.64
"70","Iceland",9.52
"71","India",7.04
"72","Indonesia",6.71
"73","Iran",1.96
"74","Iraq",3.13
"75","Ireland",9.13
"76","Israel",7.93
"77","Italy",7.69
"78","Jamaica",7.13
"79","Japan",8.33
"80","Jordan",3.17
"81","Kazakhstan",3.08
"82","Kenya",5.05
"83","Kuwait",3.83
"84","Kyrgyzstan",3.62
"85","Laos",1.77
"86","Latvia",7.37
"87","Lebanon",3.64
"88","Lesotho",6.19
"89","Liberia",5.43
"90","Libya",2.06
"91","Lithuania",7.31
"92","Luxembourg",8.81
"93","Madagascar",5.7
"94","Malawi",5.91
"95","Malaysia",7.3
"96","Mali",3.23
"97","Malta",7.7
"98","Mauritania",4.03
"99","Mauritius",8.14
"100","Mexico",5.25
"101","Moldova",6.23
"102","Mongolia",6.35
"103","Montenegro",6.45
"104","Morocco",5.04
"105","Mozambique",3.51
"106","Myanmar",0.74
"107","Namibia",6.52
"108","Nepal",4.49
"109","Netherlands",9
"110","New Zealand",9.61
"111","Nicaragua",2.5
"112","Niger",3.73
"113","Nigeria",4.23
"114","North Korea",1.08
"115","North Macedonia",6.1
"116","Norway",9.81
"117","Oman",3.12
"118","Pakistan",4.13
"119","Palestine",3.86
"120","Panama",6.91
"121","Papua New Guinea",5.97
"122","Paraguay",5.89
"123","Peru",5.92
"124","Philippines",6.73
"125","Poland",7.04
"126","Portugal",7.95
"127","Qatar",3.65
"128","Romania",6.45
"129","Russia",2.28
"130","Rwanda",3.1
"131","Saudi Arabia",2.08
"132","Senegal",5.72
"133","Serbia",6.33
"134","Sierra Leone",5.03
"135","Singapore",6.22
"136","Slovakia",7.07
"137","Slovenia",7.75
"138","South Africa",7.05
"139","South Korea",8.03
"140","Spain",8.07
"141","Sri Lanka",6.47
"142","Sudan",2.47
"143","Suriname",6.95
"144","Sweden",9.39
"145","Switzerland",9.14
"146","Syria",1.43
"147","Taiwan",8.99
"148","Tajikistan",1.94
"149","Tanzania",5.1
"150","Thailand",6.67
"151","Togo",2.99
"152","Trinidad and Tobago",7.16
"153","Tunisia",5.51
"154","Turkey",4.35
"155","Turkmenistan",1.66
"156","Uganda",4.55
"157","Ukraine",5.42
"158","United Arab Emirates",2.9
"159","United Kingdom",8.28
"160","United States",7.85
"161","Uruguay",8.91
"162","Uzbekistan",2.12
"163","Venezuela",2.23
"164","Vietnam",2.73
"165","Yemen",1.95
"166","Zambia",5.8
"167","Zimbabwe",2.92
