"","País","Conf_Gov"
"1","Albania",0.1415623
"2","Andorra",0.4870518
"3","Argentina",0.2922181
"4","Armenia",0.2862215
"5","Australia",0.3023791
"6","Austria",0.3838537
"7","Azerbaijan",0.8951009
"8","Bangladesh",0.8116666
"9","Belarus",0.4993998
"10","Bolivia",0.2331882
"11","Bosnia and Herzegovina",0.1830292
"12","Brazil",0.2255978
"13","Bulgaria",0.198971
"14","Canada",0.4615686
"15","Chile",0.3628298
"16","China",0.9463369
"17","Colombia",0.119079
"18","Croatia",0.0954931
"19","Cyprus",0.3433741
"20","Czechia",0.238234
"21","Denmark",0.3915484
"22","Ecuador",0.3183333
"23","Egypt",NA
"24","Estonia",0.401803
"25","Ethiopia",0.6550041
"26","Finland",0.4163538
"27","France",0.3072017
"28","Georgia",0.373781
"29","Germany",0.3768225
"30","Greece",0.1294653
"31","Guatemala",0.091131
"32","Hong Kong",0.5500685
"33","Hungary",0.3761436
"34","Iceland",0.3085504
"35","Indonesia",0.7881444
"36","Iran",0.5170113
"37","Iraq",0.1925
"38","Italy",0.2372037
"39","Japan",0.398374
"40","Jordan",0.361596
"41","Kazakhstan",0.6857367
"42","Kenya",0.4478673
"43","Kyrgyzstan",0.5219461
"44","Latvia",0.299545
"45","Lebanon",0.1983333
"46","Libya",0.2842809
"47","Lithuania",0.389565
"48","Macao",0.6870078
"49","Malaysia",0.5011424
"50","Maldives",0.2954764
"51","Mexico",0.1740929
"52","Mongolia",0.3857949
"53","Montenegro",0.3609199
"54","Morocco",0.21
"55","Myanmar",0.8016666
"56","Netherlands",0.3864028
"57","New Zealand",0.5160976
"58","Nicaragua",0.275
"59","Nigeria",0.4011448
"60","North Macedonia",0.257701
"61","Norway",0.5926403
"62","Pakistan",0.6235589
"63","Peru",0.1058161
"64","Philippines",0.8159974
"65","Poland",0.2304586
"66","Portugal",0.3443631
"67","Puerto Rico",0.1490683
"68","Romania",0.1882739
"69","Russia",0.5179763
"70","Serbia",0.2693663
"71","Singapore",0.8064
"72","Slovakia",0.2626226
"73","Slovenia",0.1412274
"74","South Korea",0.513253
"75","Spain",0.2197542
"76","Sweden",0.5067045
"77","Switzerland",0.6628498
"78","Taiwan",0.5232388
"79","Tajikistan",0.8925
"80","Thailand",0.5242536
"81","Tunisia",0.1193656
"82","Turkey",0.6877847
"83","Ukraine",0.1685635
"84","United Kingdom",0.2625516
"85","United States",0.3333441
"86","Uruguay",0.5363653
"87","Venezuela",0.1731092
"88","Vietnam",0.9291666
"89","Zimbabwe",0.5172982
