"","País","Perc_no_educ"
"1","Afghanistan",0.339
"2","Albania",0.01
"3","Algeria",0.104
"4","Argentina",0.005
"5","Armenia",0.006
"6","Australia",0.009
"7","Austria",0.019
"8","Bahrain",0.254
"9","Bangladesh",0.219
"10","Barbados",0.007
"11","Belgium",0.03
"12","Belize",0.001
"13","Benin",0.374
"14","Bolivia",0.049
"15","Botswana",0.028
"16","Brazil",0.042
"17","Brunei",0.206
"18","Bulgaria",0.018
"19","Burundi",0.337
"20","Cambodia",0.127
"21","Cameroon",0.123
"22","Canada",0.004
"23","Central African Republic",0.422
"24","Chile",0.01
"25","China",0.013
"26","Colombia",0.026
"27","Congo",0.188
"28","Costa Rica",0.018
"29","Cote d'Ivoire",0.293
"30","Croatia",0.007
"31","Cuba",0.02
"32","Cyprus",0.002
"33","Czechia",0.002
"34","Democratic Republic of Congo",0.307
"35","Denmark",0.033
"36","Dominican Republic",0.043
"37","Ecuador",0.029
"38","Egypt",0.208
"39","El Salvador",0.018
"40","Estonia",0.005
"41","Eswatini",0.201
"42","Fiji",0.011
"43","Finland",0.004
"44","France",0.011
"45","Gabon",0.065
"46","Gambia",0.471
"47","Germany",0.016
"48","Ghana",0.159
"49","Greece",0.006
"50","Guatemala",0.105
"51","Guyana",0.069
"52","Haiti",0.148
"53","Honduras",0.064
"54","Hong Kong",0.005
"55","Hungary",0.003
"56","Iceland",0.018
"57","India",0.206
"58","Indonesia",0.026
"59","Iran",0.092
"60","Iraq",0.132
"61","Ireland",0.004
"62","Israel",0.009
"63","Italy",0.01
"64","Jamaica",0.051
"65","Japan",0.002
"66","Jordan",0.026
"67","Kazakhstan",0.001
"68","Kenya",0.064
"69","Kuwait",0.027
"70","Kyrgyzstan",0.002
"71","Laos",0.236
"72","Latvia",0.006
"73","Lesotho",0.073
"74","Liberia",0.36
"75","Libya",0.149
"76","Lithuania",0.001
"77","Luxembourg",0.054
"78","Macao",0.016
"79","Malawi",0.082
"80","Malaysia",0.022
"81","Maldives",0.109
"82","Mali",0.57
"83","Malta",0.03
"84","Mauritania",0.182
"85","Mauritius",0.01
"86","Mexico",0.033
"87","Moldova",0.009
"88","Mongolia",0.034
"89","Morocco",0.282
"90","Mozambique",0.455
"91","Myanmar",0.085
"92","Namibia",0.192
"93","Nepal",0.205
"94","Netherlands",0.002
"95","New Zealand",0.017
"96","Nicaragua",0.097
"97","Niger",0.581
"98","Norway",0.077
"99","Pakistan",0.314
"100","Panama",0.041
"101","Papua New Guinea",0.348
"102","Paraguay",0.031
"103","Peru",0.016
"104","Philippines",0.018
"105","Poland",0.002
"106","Portugal",0.024
"107","Qatar",0.025
"109","Romania",0.01
"110","Russia",0.01
"111","Rwanda",0.319
"112","Saudi Arabia",0.066
"113","Senegal",0.42
"114","Serbia",0.012
"115","Sierra Leone",0.351
"116","Singapore",0.036
"117","Slovakia",0.003
"118","Slovenia",0.005
"119","South Africa",0.019
"120","South Korea",0.003
"121","Spain",0.007
"122","Sri Lanka",0.027
"123","Sudan",0.456
"124","Sweden",0.031
"125","Switzerland",0.011
"126","Syria",0.084
"127","Taiwan",0.002
"128","Tajikistan",0.001
"129","Tanzania",0.08
"130","Thailand",0.029
"131","Togo",0.22
"132","Tonga",0.004
"133","Trinidad and Tobago",0.006
"134","Tunisia",0.094
"135","Turkey",0.037
"136","Uganda",0.057
"137","Ukraine",0.002
"138","United Arab Emirates",0.088
"139","United Kingdom",0.001
"140","United States",0.004
"141","Uruguay",0.003
"142","Venezuela",0.02
"143","Vietnam",0.136
"144","Yemen",0.38
"145","Zambia",0.068
"146","Zimbabwe",0.019
