"","País","Transp_laws"
"1","Afghanistan",0
"2","Albania",0
"3","Algeria",0
"4","Angola",0
"5","Argentina",0
"6","Armenia",0
"7","Australia",1
"8","Austria",0
"9","Azerbaijan",0
"10","Bahrain",0
"11","Bangladesh",0
"12","Barbados",1
"13","Belarus",0
"14","Belgium",1
"15","Benin",0
"16","Bhutan",1
"17","Bolivia",0
"18","Bosnia and Herzegovina",0
"19","Botswana",0
"20","Brazil",1
"21","Bulgaria",0
"22","Burkina Faso",1
"23","Burundi",0
"24","Cambodia",0
"25","Cameroon",0
"26","Canada",1
"27","Cape Verde",0
"28","Central African Republic",0
"29","Chad",0
"30","Chile",1
"31","China",0
"32","Colombia",0
"33","Comoros",0
"34","Congo",0
"35","Costa Rica",1
"36","Cote d'Ivoire",0
"37","Croatia",0
"38","Cuba",0
"39","Cyprus",0
"40","Czechia",1
"41","Democratic Republic of Congo",0
"42","Denmark",1
"43","Djibouti",0
"44","Dominican Republic",0
"45","East Timor",0
"46","Ecuador",0
"47","Egypt",0
"48","El Salvador",0
"49","Equatorial Guinea",0
"50","Eritrea",0
"51","Estonia",1
"52","Eswatini",0
"53","Ethiopia",0
"54","Fiji",0
"55","Finland",1
"56","France",1
"57","Gabon",1
"58","Gambia",0
"59","Georgia",0
"60","Germany",1
"61","Ghana",1
"62","Greece",1
"63","Guatemala",0
"64","Guinea",0
"65","Guinea-Bissau",0
"66","Guyana",0
"67","Haiti",0
"68","Honduras",0
"69","Hong Kong",0
"70","Hungary",0
"71","Iceland",1
"72","India",0
"73","Indonesia",0
"74","Iran",0
"75","Iraq",0
"76","Ireland",1
"77","Israel",0
"78","Italy",1
"79","Jamaica",0
"80","Japan",1
"81","Jordan",0
"82","Kazakhstan",0
"83","Kenya",0
"84","Kosovo",0
"85","Kuwait",1
"86","Kyrgyzstan",0
"87","Laos",0
"88","Latvia",1
"89","Lebanon",0
"90","Lesotho",0
"91","Liberia",0
"92","Libya",0
"93","Lithuania",0
"94","Luxembourg",1
"95","Madagascar",0
"96","Malawi",1
"97","Malaysia",0
"98","Maldives",0
"99","Mali",0
"100","Malta",0
"101","Mauritania",0
"102","Mauritius",0
"103","Mexico",0
"104","Moldova",0
"105","Mongolia",0
"106","Montenegro",0
"107","Morocco",0
"108","Mozambique",0
"109","Myanmar",0
"110","Namibia",1
"111","Nepal",0
"112","Netherlands",1
"113","New Zealand",1
"114","Nicaragua",0
"115","Niger",1
"116","Nigeria",0
"117","North Korea",0
"118","North Macedonia",0
"119","Norway",1
"120","Oman",0
"121","Pakistan",0
"122","Panama",0
"123","Papua New Guinea",0
"124","Paraguay",0
"125","Peru",0
"126","Philippines",0
"127","Poland",0
"128","Portugal",1
"129","Qatar",0
"130","Romania",0
"131","Russia",0
"132","Rwanda",0
"133","Sao Tome and Principe",0
"134","Saudi Arabia",0
"135","Senegal",0
"136","Serbia",0
"137","Seychelles",1
"138","Sierra Leone",0
"139","Singapore",1
"140","Slovakia",0
"141","Slovenia",0
"142","Solomon Islands",0
"143","Somalia",0
"144","South Africa",0
"145","South Korea",1
"146","South Sudan",0
"147","Spain",1
"148","Sri Lanka",0
"149","Sudan",0
"150","Suriname",1
"151","Sweden",1
"152","Switzerland",1
"153","Syria",0
"154","Taiwan",1
"155","Tajikistan",0
"156","Tanzania",0
"157","Thailand",0
"158","Togo",0
"159","Trinidad and Tobago",1
"160","Tunisia",0
"161","Turkey",0
"162","Turkmenistan",0
"163","Uganda",0
"164","Ukraine",0
"165","United Arab Emirates",1
"166","United Kingdom",1
"167","United States",1
"168","Uruguay",1
"169","Uzbekistan",0
"170","Vanuatu",0
"171","Venezuela",0
"172","Vietnam",0
"173","Yemen",0
"174","Zambia",0
"175","Zimbabwe",0
