"País","Unemployment_rate"
"Afghanistan",14.1
"Albania",11.629
"Algeria",12.491
"Angola",14.478
"Argentina",6.805
"Armenia",8.588
"Australia",3.7
"Austria",4.99
"Azerbaijan",5.65
"Bahamas",10.089
"Bahrain",1.339
"Bangladesh",4.271
"Barbados",8.501
"Belarus",3.57
"Belgium",5.56
"Belize",8.672
"Benin",1.476
"Bhutan",5.95
"Bolivia",3.552
"Bosnia and Herzegovina",12.66
"Botswana",23.62
"Brazil",9.23
"Brunei",4.452
"Bulgaria",4.27
"Burkina Faso",5.065
"Burundi",0.906
"Cambodia",0.226
"Cameroon",3.779
"Canada",5.28
"Cape Verde",12.44
"Central African Republic",6.341
"Chad",1.1
"Chile",8.25
"China",4.98
"Colombia",10.55
"Comoros",5.745
"Congo",20.477
"Costa Rica",11.32
"Cote d'Ivoire",2.489
"Croatia",6.96
"Cuba",1.254
"Cyprus",6.78
"Czechia",2.22
"Democratic Republic of Congo",4.685
"Denmark",4.43
"Djibouti",26.666
"Dominican Republic",5.504
"East Timor",1.786
"Ecuador",3.76
"Egypt",6.397
"El Salvador",3
"Equatorial Guinea",8.584
"Eritrea",5.974
"Estonia",5.57
"Eswatini",22.643
"Ethiopia",3.415
"Fiji",4.562
"Finland",6.72
"France",7.31
"French Polynesia",11.797
"Gabon",20.61
"Gambia",4.265
"Georgia",11.683
"Germany",3.14
"Ghana",3.518
"Greece",12.43
"Guam",5.569
"Guatemala",3.05
"Guinea",5.526
"Guinea-Bissau",3.24
"Guyana",12.301
"Haiti",14.776
"Honduras",6.998
"Hong Kong",4.32
"Hungary",3.61
"Iceland",3.79
"India",4.822
"Indonesia",3.46
"Iran",8.815
"Iraq",15.322
"Ireland",4.48
"Israel",3.695
"Italy",8.07
"Jamaica",5.499
"Japan",2.6
"Jordan",19.191
"Kazakhstan",4.86
"Kenya",5.644
"Kuwait",2.198
"Kyrgyzstan",4.017
"Laos",3.819
"Latvia",6.81
"Lebanon",11.747
"Lesotho",16.745
"Liberia",3.025
"Libya",19.302
"Lithuania",5.96
"Luxembourg",4.58
"Macao",2.414
"Madagascar",1.899
"Malawi",5.114
"Malaysia",3.629
"Maldives",4.385
"Mali",3.141
"Malta",2.92
"Mauritania",10.791
"Mauritius",6.322
"Mexico",3.26
"Moldova",0.91
"Mongolia",6.21
"Montenegro",15.252
"Morocco",9.992
"Mozambique",3.79
"Myanmar",2.956
"Namibia",19.988
"Nepal",10.923
"Netherlands",3.52
"New Caledonia",11.033
"New Zealand",3.3
"Nicaragua",4.99
"Niger",0.571
"Nigeria",3.83
"North Korea",3.072
"North Macedonia",14.43
"Norway",3.23
"Oman",1.531
"Pakistan",5.595
"Palestine",24.42
"Panama",8.202
"Papua New Guinea",2.779
"Paraguay",6.75
"Peru",3.85
"Philippines",2.375
"Poland",2.89
"Portugal",6.01
"Puerto Rico",6
"Qatar",0.13
"Romania",5.61
"Russia",3.867
"Rwanda",15.08
"Saint Lucia",15.77
"Saint Vincent and the Grenadines",19.554
"Samoa",10.036
"Sao Tome and Principe",14.354
"Saudi Arabia",5.59
"Senegal",3.012
"Serbia",8.684
"Sierra Leone",3.269
"Singapore",3.59
"Slovakia",6.14
"Slovenia",4.01
"Solomon Islands",1.609
"Somalia",19.291
"South Africa",28.84
"South Korea",2.86
"South Sudan",12.442
"Spain",12.92
"Sri Lanka",6.178
"Sudan",17.585
"Suriname",8.226
"Sweden",7.39
"Switzerland",4.3
"Syria",13.809
"Tajikistan",7.001
"Tanzania",2.603
"Thailand",0.94
"Togo",3.846
"Tonga",2.429
"Trinidad and Tobago",3.812
"Tunisia",17.759
"Turkey",10.43
"Turkmenistan",4.126
"Uganda",2.938
"United Arab Emirates",2.971
"United Kingdom",3.73
"United States",3.65
"United States Virgin Islands",12.856
"Uruguay",7.87
"Uzbekistan",4.507
"Vanuatu",5.219
"Venezuela",5.62
"Vietnam",1.54
"Yemen",17.613
"Zambia",4.374
"Zimbabwe",9.256
