"","País","Pol_corruption_index","Democracy_index","Conf_Gov","Perc_no_educ","GDP_per_capita","Transp_laws"
"1","Afghanistan",0.518,0.32,NA,0.339,1516.3057,0
"2","Albania",0.594,6.41,0.1415623,0.01,14518.906,0
"3","Algeria",0.67,3.66,NA,0.104,11039.806,0
"4","Andorra",NA,NA,0.4870518,NA,NA,NA
"5","Angola",0.499,3.96,NA,NA,5908.57,0
"6","Antigua and Barbuda",NA,NA,NA,NA,19124.43,NA
"7","Argentina",0.401,6.85,0.2922181,0.005,21527.195,0
"8","Armenia",0.374,5.63,0.2862215,0.006,14193.117,0
"9","Aruba",NA,NA,NA,NA,38866.332,NA
"10","Australia",0.026,8.71,0.3023791,0.009,49774.34,1
"11","Austria",0.122,8.2,0.3838537,0.019,54121.145,0
"12","Azerbaijan",0.884,2.87,0.8951009,NA,14431.661,0
"13","Bahamas",NA,NA,NA,NA,30210.162,NA
"14","Bahrain",0.578,2.52,NA,0.254,49387.418,0
"15","Bangladesh",0.908,5.99,0.8116666,0.219,5911.013,0
"16","Barbados",0.067,NA,NA,0.007,13754.803,1
"17","Belarus",0.421,1.99,0.4993998,NA,19751.203,0
"18","Belgium",0.031,7.64,NA,0.03,51739.54,1
"19","Belize",NA,NA,NA,0.001,8762.623,NA
"20","Benin",0.188,4.28,NA,0.374,3321.5522,0
"21","Bermuda",NA,NA,NA,NA,80271.13,NA
"22","Bhutan",0.128,5.54,NA,NA,10907.856,1
"23","Bolivia",0.603,4.51,0.2331882,0.049,8052.1772,0
"24","Bosnia and Herzegovina",0.732,5,0.1830292,NA,15666.54,0
"25","Botswana",0.239,7.73,NA,0.028,14840.913,0
"26","Brazil",0.449,6.78,0.2255978,0.042,14592.353,1
"27","Brunei",NA,NA,NA,0.206,60127.023,NA
"28","Bulgaria",0.334,6.53,0.198971,0.018,24398.13,0
"29","Burkina Faso",0.364,3.08,NA,NA,2179.789,1
"30","Burundi",0.79,2.13,NA,0.337,705.0304,0
"31","Cambodia",0.883,3.18,NA,0.127,4354.5654,0
"32","Cameroon",0.946,2.56,NA,0.123,3700.4644,0
"33","Canada",0.027,8.88,0.4615686,0.004,47892.945,1
"34","Cape Verde",0.259,7.65,NA,NA,6114.1333,0
"35","Cayman Islands",NA,NA,NA,NA,67500.1,NA
"36","Central African Republic",0.82,1.35,NA,0.422,837.5047,0
"37","Chad",0.954,1.67,NA,NA,1425.4945,0
"38","Chile",0.07,8.22,0.3628298,0.01,25449.13,1
"39","China",0.523,1.94,0.9463369,0.013,17602.695,0
"40","Colombia",0.394,6.72,0.119079,0.026,14648.592,0
"41","Comoros",0.78,3.2,NA,NA,3228.5269,0
"42","Congo",0.844,2.79,NA,0.188,3234.393,0
"43","Costa Rica",0.19,8.29,NA,0.018,21199.281,1
"44","Cote d'Ivoire",0.597,4.22,NA,0.293,5325.0303,0
"45","Croatia",0.256,6.5,0.0954931,0.007,31635.824,0
"46","Cuba",0.593,2.65,NA,0.02,NA,0
"47","Curacao",NA,NA,NA,NA,20783.086,NA
"48","Cyprus",0.196,7.38,0.3433741,0.002,41701.703,0
"49","Czechia",0.137,7.97,0.238234,0.002,40740.992,1
"50","Democratic Republic of Congo",0.922,1.48,NA,0.307,1073.6433,0
"51","Denmark",0.003,9.28,0.3915484,0.033,57962.652,1
"52","Djibouti",0.685,2.74,NA,NA,4913.2563,0
"53","Dominica",NA,NA,NA,NA,10878.037,NA
"54","Dominican Republic",0.634,6.39,NA,0.043,18626.078,0
"55","East Timor",0.216,7.06,NA,NA,5032.41,0
"56","Ecuador",0.658,5.69,0.3183333,0.029,10668.758,0
"57","Egypt",0.731,2.93,NA,0.208,11566.05,0
"58","El Salvador",0.701,5.06,NA,0.018,9086.047,0
"59","Equatorial Guinea",0.865,1.92,NA,NA,14637.008,0
"60","Eritrea",0.713,2.03,NA,NA,NA,0
"61","Estonia",0.038,7.96,0.401803,0.005,38717.695,1
"62","Eswatini",0.59,3.01,NA,0.201,8856.829,0
"63","Ethiopia",0.571,3.17,0.6550041,NA,2319.0684,0
"64","Fiji",0.293,5.55,NA,0.011,10359.204,0
"65","Finland",0.016,9.29,0.4163538,0.004,48753.355,1
"66","France",0.047,8.07,0.3072017,0.011,44993.125,1
"67","Gabon",0.825,3.4,NA,0.065,13813.723,1
"68","Gambia",0.26,4.47,NA,0.471,2076.5664,0
"69","Georgia",0.154,5.2,0.373781,NA,15486.659,0
"70","Germany",0.015,8.8,0.3768225,0.016,53179.656,1
"71","Ghana",0.641,6.43,NA,0.159,5435.238,1
"72","Greece",0.253,7.97,0.1294653,0.006,29548.04,1
"73","Grenada",NA,NA,NA,NA,13688.256,NA
"74","Guatemala",0.773,4.68,0.091131,0.105,8926.7,0
"75","Guinea",0.719,2.32,NA,NA,2640.3442,0
"76","Guinea-Bissau",0.806,2.56,NA,NA,1831.3832,0
"77","Guyana",0.462,6.34,NA,0.069,21925.188,0
"78","Haiti",0.766,2.81,NA,0.148,2870.145,0
"79","Honduras",0.75,5.15,NA,0.064,5572.177,0
"80","Hong Kong",0.084,5.28,0.5500685,0.005,59978.15,0
"81","Hungary",0.514,6.64,0.3761436,0.003,33593.152,0
"82","Iceland",0.025,9.52,0.3085504,0.018,53586.156,1
"83","India",0.675,7.04,NA,0.206,6592.042,0
"84","Indonesia",0.772,6.71,0.7881444,0.026,11858.146,0
"85","Iran",0.796,1.96,0.5170113,0.092,15004.6875,0
